workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,1,8,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.549999721348286e-05,3.3999967854470015e-06,0.19380370000726543,0.19380710000405088,4259.496964246422,8,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,9,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,2.989999484270811e-05,3.2999960239976645e-06,0.20004890000564046,0.20005220000166446,6690.710184200998,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,10,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.7200010158121586e-05,2.7999922167509794e-06,0.1896679000055883,0.18967069999780506,4018.4461690241587,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,11,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.119999357499182e-05,2.9999937396496534e-06,0.1937264000007417,0.19372939999448135,4702.17063606714,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,12,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,5.069997860118747e-05,2.500019036233425e-06,0.19693710000137798,0.19693960002041422,3884.411896296177,12,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,13,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.429999924264848e-05,3.5999983083456755e-06,0.190700699982699,0.19070429998100735,5559.892250489801,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,14,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,5.6199991377070546e-05,4.4000043999403715e-06,0.20476419999613427,0.2047686000005342,3643.5699540708342,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,15,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.220000118948519e-05,3.4999975468963385e-06,0.18120010002166964,0.18120360001921654,4293.924050039276,16,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,16,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.5900000259280205e-05,2.8999929782003164e-06,0.19844959999318235,0.19845249998616055,4323.583853271042,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,17,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.840000135824084e-05,3.1999952625483274e-06,0.20081690000370145,0.200820099998964,5229.689919161082,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,18,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.269998705945909e-05,2.700020559132099e-06,0.195493399980478,0.19549610000103712,5978.476372041443,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,19,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00018840000848285854,4.1000021155923605e-06,0.20014280002214946,0.20014690002426505,1062.350801552513,162,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
