algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,10000,11000,11000,10000,2,4,0.1,4,1,1000,4,0.18676369998138398,0.009042500023497269,0.1972904000140261,5.641792297363281,35.89453125,5.641792297363281,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,2,0,0.1,4,1,1000,1,0.024273500021081418,0.005777199985459447,0.03124869999010116,1.3648529052734375,36.8359375,1.3648529052734375,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,2,1,0.1,4,1,1000,1,0.02544830000260845,0.006861200003186241,0.03396880000946112,1.364898681640625,35.828125,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,2,2,0.1,4,1,1000,1,0.023527400015154853,0.006299500004388392,0.031246300000930205,1.364898681640625,35.828125,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,2,3,0.1,4,1,1000,1,0.023805500008165836,0.006261299975449219,0.03161420000833459,1.364898681640625,35.828125,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,2,4,0.1,4,1,1000,1,0.025192200002493337,0.006483599980128929,0.033283500000834465,1.364898681640625,35.828125,1.364898681640625,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,3,0,0.1,4,1,1000,0,0.0,49.794090799987316,49.99701520000235,2.657541275024414,31.70703125,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,3,1,0.1,4,1,1000,0,0.0,48.49447570001939,48.68334529999993,2.657541275024414,31.7421875,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,3,2,0.1,4,1,1000,0,0.0,48.70627210001112,48.89393000002019,2.657541275024414,31.98828125,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,3,3,0.1,4,1,1000,0,0.0,48.860163300007116,49.05559279999579,2.657541275024414,31.8046875,2.657541275024414,True,False,68869e6
