batch_size,batch_index,distribution,n,seed,incremental_time,static_rebuild_time,speedup,result_match,affected_block_rows,inc_is_repair,static_is_repair
1,33,uniform,1000000,1,3.099999958067201e-05,0.8679459999984829,27998.258443191495,True,1,False,False
1,34,uniform,1000000,1,0.002376899999944726,0.8990792000004149,378.257057520856,True,1,False,False
1,35,uniform,1000000,1,0.002461700001731515,0.9162180999992415,372.1891779480808,True,1,False,False
1,36,uniform,1000000,1,0.002532399998017354,0.8670947999999044,342.40041094564964,True,1,False,False
1,37,uniform,1000000,1,0.027680099999997765,0.8993367000002763,32.490370338270054,True,2,False,False
1,38,uniform,1000000,1,0.02866619999986142,0.8979928999979165,31.325843676603725,True,3,False,False
1,39,uniform,1000000,1,0.02818499999921187,0.8934855000006792,31.700745078079244,True,2,False,False
1,40,uniform,1000000,1,0.02873639999961597,0.8991963000007672,31.29119513971075,True,2,False,False
1,41,uniform,1000000,1,0.0027999000012641773,0.9099550999999337,324.99557112364073,True,1,False,False
1,42,uniform,1000000,1,2.9499999072868377e-05,0.8849570000020321,29998.54331575018,True,1,False,False
1,43,uniform,1000000,1,0.0029364000001805834,0.9285595000001194,316.22377739511467,True,1,False,False
1,44,uniform,1000000,1,0.030019900001207134,0.9023908999988635,30.059757026591605,True,2,False,False
1,45,uniform,1000000,1,3.300000025774352e-05,0.9163456999995105,27768.051298256825,True,1,False,False
1,46,uniform,1000000,1,0.0023741000004520174,0.8773653999996895,369.55705312861437,True,1,False,False
1,47,uniform,1000000,1,3.260000084992498e-05,0.9021379000005254,27672.94099633747,True,1,False,False
1,48,uniform,1000000,1,0.027961200001300313,0.9089429999985441,32.50729582264976,True,3,False,False
1,49,uniform,1000000,1,0.028164600000309292,0.8663620000006631,30.76067119686234,True,2,False,False
10,0,uniform,1000000,1,0.06508210000174586,1.3145509999994829,20.19834946881277,True,12,False,False
10,1,uniform,1000000,1,0.11811239999951795,1.3209348000018508,11.183709754498613,True,14,False,False
10,2,uniform,1000000,1,0.12210140000024694,1.2206980000009935,9.997411987074061,True,15,False,False
10,3,uniform,1000000,1,0.09001880000141682,1.1757849999994505,13.061549365032022,True,14,False,False
10,4,uniform,1000000,1,0.09759889999986626,1.1146611000003759,11.42083671026931,True,13,False,False
10,5,uniform,1000000,1,0.06412860000273213,1.0958886000007624,17.088921322998992,True,12,False,False
10,6,uniform,1000000,1,0.035625999997137114,1.1240465000009863,31.551296808266827,True,11,False,False
10,7,uniform,1000000,1,0.06949819999863394,1.0116963000000396,14.557158315178317,True,12,False,False
10,8,uniform,1000000,1,0.09134479999920586,1.0007316000010178,10.955539888529156,True,13,False,False
10,9,uniform,1000000,1,0.09374730000126874,1.029471800000465,10.981348796035006,True,13,False,False
10,10,uniform,1000000,1,0.09716230000049109,0.9835614000003261,10.122870701860236,True,13,False,False
10,11,uniform,1000000,1,0.09409389999927953,0.865127000000939,9.194294210438331,True,14,False,False
10,12,uniform,1000000,1,0.18017560000225785,1.0938778999989154,6.071176674228961,True,16,False,False
10,13,uniform,1000000,1,0.03828379999686149,0.8733734000015829,22.81313244957873,True,11,False,False
10,14,uniform,1000000,1,0.09863559999939753,0.8533592999992834,8.651635920544871,True,13,False,False
10,15,uniform,1000000,1,0.06758400000035181,0.9328300000015588,13.802527225330003,True,13,False,False
10,16,uniform,1000000,1,0.01355139999941457,0.9165691000016523,67.63648774600769,True,10,False,False
10,17,uniform,1000000,1,0.0951887999981409,0.8721404000025359,9.162216563498745,True,14,False,False
10,18,uniform,1000000,1,0.03948139999920386,0.8059501999996428,20.41341492489868,True,11,False,False
10,19,uniform,1000000,1,0.09145250000074157,0.7965096999978414,8.709545392322601,True,13,False,False
10,20,uniform,1000000,1,0.09637549999752082,0.8101152000017464,8.405820981707862,True,14,False,False
10,21,uniform,1000000,1,0.09230290000050445,0.7940903000016988,8.603091560474903,True,14,False,False
10,22,uniform,1000000,1,0.09524859999874025,0.8169601999979932,8.57713604198695,True,13,False,False
10,23,uniform,1000000,1,0.06745800000135205,0.678340999998909,10.055753209186651,True,13,False,False
10,24,uniform,1000000,1,0.09368400000312249,0.684271300000546,7.304035907708245,True,13,False,False
10,25,uniform,1000000,1,0.06912390000070445,0.718441699998948,10.393535376210345,True,13,False,False
10,26,uniform,1000000,1,0.06765610000002198,0.8125233999999182,12.009610367722264,True,13,False,False
10,27,uniform,1000000,1,0.06844649999766261,0.7807823000002827,11.4071910181959,True,13,False,False
10,28,uniform,1000000,1,0.14949300000080257,0.7774199999985285,5.2003772751523805,True,16,False,False
10,29,uniform,1000000,1,0.0677575000008801,0.8141190000023926,12.015186510597617,True,13,False,False
10,30,uniform,1000000,1,0.011162499999045394,0.8125560999978916,72.79337962529725,True,10,False,False
10,31,uniform,1000000,1,0.06499619999885908,0.7427032000014151,11.426871109610287,True,12,False,False
10,32,uniform,1000000,1,0.09288430000015069,0.6717788000023575,7.232425716738648,True,14,False,False
10,33,uniform,1000000,1,0.04063289999976405,0.6790246000018669,16.711202006399,True,11,False,False
10,34,uniform,1000000,1,0.06615619999865885,0.7022351999985403,10.614805566413676,True,12,False,False
10,35,uniform,1000000,1,0.04120200000033947,0.6948190000002796,16.86372020762475,True,11,False,False
10,36,uniform,1000000,1,0.11795409999831463,0.6680286000009801,5.663462312971953,True,14,False,False
10,37,uniform,1000000,1,0.12112649999835412,0.6598899999989953,5.447940789240686,True,14,False,False
