/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
BCNF-Index,pass,1000,4,3,0.1,4,1,100,1,0.002246500000183005,0.006213899998328998,0.00865689999955066,0.1545867919921875,28.91796875,0.1545867919921875,True,False
BCNF-Index,pass,1000,4,4,0.1,4,1,100,1,0.0022090999991633,0.005663400001139962,0.008084099999905447,0.1545867919921875,28.91796875,0.1545867919921875,True,False
Singleton-FullScan,fail,1000,4,0,0.1,4,1,101,0,0.0,0.4073812000006001,0.429896199999348,0.8855772018432617,27.2890625,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,4,1,0.1,4,1,101,0,0.0,0.38586279999981343,0.4055105999996158,0.8855772018432617,27.23828125,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,4,2,0.1,4,1,101,0,0.0,0.02328970000053232,0.042269800000212854,0.719813346862793,27.171875,0.719813346862793,False,False
Singleton-FullScan,fail,1000,4,3,0.1,4,1,101,0,0.0,0.07239260000096692,0.09273600000051374,0.719813346862793,27.375,0.719813346862793,False,False
Singleton-FullScan,fail,1000,4,4,0.1,4,1,101,0,0.0,0.42300109999996494,0.44277300000067044,0.8855772018432617,27.4453125,0.8855772018432617,False,False
FD-Hash,fail,1000,4,0,0.1,4,1,101,4,0.022810000000390573,0.0006956000015634345,0.023861900001065806,0.603118896484375,29.04296875,0.603118896484375,False,False
FD-Hash,fail,1000,4,1,0.1,4,1,101,4,0.0342953999988822,0.0010240000010526273,0.03569719999904919,0.603118896484375,28.88671875,0.603118896484375,False,False
FD-Hash,fail,1000,4,2,0.1,4,1,101,4,0.024591100000179722,0.0005349000002752291,0.02555920000122569,0.603118896484375,28.890625,0.603118896484375,False,False
FD-Hash,fail,1000,4,3,0.1,4,1,101,4,0.024919200001022546,0.0005148000000190223,0.025787699998545577,0.603118896484375,28.89453125,0.603118896484375,False,False
FD-Hash,fail,1000,4,4,0.1,4,1,101,4,0.020543100001304992,0.0004719000007753493,0.0212429000002885,0.603118896484375,28.89453125,0.603118896484375,False,False
